,cause,avoidable,men,women,people,Males,Females,Persons,Males.1,Females.1,Persons.1,header
2,Cholera (A00),,0,0,0,,,,,,,False
3,Typhoid and paratyphoid fevers (A01),,0,0,0,,,,,,,False
4,Other salmonella infections (A02),,11,4,15,,,,52.0,,51.0,False
5,Shigellosis (A03),,0,0,0,,,,,,,False
6,Other bacterial intestinal infections (A04),,31,31,62,0.2,0.2,0.2,55.0,44.0,98.0,False
7,"Other bacterial foodborne intoxications, not elsewhere classified (A05)",,0,0,0,,,,,,,False
8,Amoebiasis (A06),,0,0,0,,,,,,,False
9,Other protozoal intestinal diseases (A07),,0,0,0,,,,,,,False
10,Viral and other specified intestinal infections (A08),,4,10,14,,,,,,,False
11,Other gastroenteritis and colitis of infectious and unspecified origin (A09),,61,123,184,0.4,0.7,0.6,309.0,292.0,597.0,False
13,"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",,0,1,1,,,,,,,False
14,"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",,24,15,39,0.2,,0.1,97.0,,156.0,False
15,Tuberculosis of nervous system (A17),,0,3,3,,,,,,,False
16,Tuberculosis of other organs (A18),,1,0,1,,,,,,,False
17,Miliary tuberculosis (A19),,3,2,5,,,,,,,False
19,Plague (A20),,0,0,0,,,,,,,False
20,Tularaemia (A21),,0,0,0,,,,,,,False
21,Anthrax (A22),,0,0,0,,,,,,,False
22,Brucellosis (A23),,0,0,0,,,,,,,False
23,Glanders and melioidosis (A24),,3,2,5,,,,,,194.0,False
24,Rat-bite fevers (A25),,0,0,0,,,,,,,False
25,Erysipeloid (A26),,0,0,0,,,,,,,False
26,Leptospirosis (A27),,0,0,0,,,,,,,False
27,"Other zoonotic bacterial diseases, not elsewhere classified (A28)",,0,0,0,,,,,,,False
29,Leprosy [Hansen's disease] (A30),,0,0,0,,,,,,,False
30,Infection due to other mycobacteria (A31),,7,7,14,,,,,13.0,76.0,False
31,Listeriosis (A32),,1,1,2,,,,,,,False
32,Tetanus neonatorum (A33),,0,0,0,,,,,,,False
33,Obstetrical tetanus (A34),,0,0,0,,,,,,,False
34,Other tetanus (A35),,1,1,2,,,,,,,False
35,Diphtheria (A36),,1,0,1,,,,,,,False
36,Whooping cough (A37),,2,1,3,,,,,,,False
37,Scarlet fever (A38),x,0,0,0,,,,,,,False
38,Meningococcal infection (A39),x,6,7,13,,,,,300.0,483.0,False
39,Streptococcal sepsis (A40),x,14,10,24,,,0.1,134.0,,183.0,False
40,Other sepsis (A41),x,663,747,1410,4.9,3.9,4.4,2310.0,1766.0,4059.0,False
41,Actinomycosis (A42),,0,0,0,,,,,,,False
42,Nocardiosis (A43),,1,4,5,,,,,,,False
43,Bartonellosis (A44),,0,0,0,,,,,,,False
44,Erysipelas (A46),x,0,0,0,,,,,,,False
45,"Other bacterial diseases, not elsewhere classified (A48)",,8,1,9,,,,45.0,,51.0,False
