cause,avoidable,men,women,people,Males,Females,Persons,Males,Females,Persons
CHAPTER I Certain infectious and parasitic diseases (A00-B99),,"1,203","1,210","2,413",8.8,6.6,7.6,"7,656","4,386","11,971"
Intestinal infectious diseases  (A00-A09),,107,168,275,0.8,0.9,0.8,415,364,775
Cholera (A00),,0,0,0,—,—,—,—,—,—
Typhoid and paratyphoid fevers (A01),,0,0,0,—,—,—,—,—,—
Other salmonella infections (A02),,11,4,15,np,np,np,52,—,51
Shigellosis (A03),,0,0,0,—,—,—,—,—,—
Other bacterial intestinal infections (A04),,31,31,62,0.2,0.2,0.2,55,44,98
"Other bacterial foodborne intoxications, not elsewhere classified (A05)",,0,0,0,—,—,—,—,—,—
Amoebiasis (A06),,0,0,0,—,—,—,—,—,—
Other protozoal intestinal diseases (A07),,0,0,0,—,—,—,—,—,—
Viral and other specified intestinal infections (A08),,4,10,14,np,np,np,—,np,np
Other gastroenteritis and colitis of infectious and unspecified origin (A09),,61,123,184,0.4,0.7,0.6,309,292,597
Tuberculosis  (A15-A19),,28,21,49,0.2,0.1,0.2,140,148,286
"Respiratory tuberculosis, bacteriologically and histologically confirmed (A15)",,0,1,1,—,np,np,—,np,np
"Respiratory tuberculosis, not confirmed bacteriologically or histologically (A16)",,24,15,39,0.2,np,0.1,97,np,156
Tuberculosis of nervous system (A17),,0,3,3,—,np,np,—,np,np
Tuberculosis of other organs (A18),,1,0,1,np,—,np,np,—,np
Miliary tuberculosis (A19),,3,2,5,np,np,np,np,np,np
Certain zoonotic bacterial diseases  (A20-A28),,3,2,5,np,np,np,np,np,194
Plague (A20),,0,0,0,—,—,—,—,—,—
Tularaemia (A21),,0,0,0,—,—,—,—,—,—
Anthrax (A22),,0,0,0,—,—,—,—,—,—
Brucellosis (A23),,0,0,0,—,—,—,—,—,—
Glanders and melioidosis (A24),,3,2,5,np,np,np,np,np,194
Rat-bite fevers (A25),,0,0,0,—,—,—,—,—,—
Erysipeloid (A26),,0,0,0,—,—,—,—,—,—
Leptospirosis (A27),,0,0,0,—,—,—,—,—,—
"Other zoonotic bacterial diseases, not elsewhere classified (A28)",,0,0,0,—,—,—,—,—,—
Other bacterial diseases  (A30-A49),,759,830,"1,589",5.6,4.4,4.9,"3,155","2,302","5,433"
Leprosy [Hansen's disease] (A30),,0,0,0,—,—,—,—,—,—
Infection due to other mycobacteria (A31),,7,7,14,np,np,np,np,13,76
Listeriosis (A32),,1,1,2,np,np,np,—,np,np
Tetanus neonatorum (A33),,0,0,0,—,—,—,—,—,—
Obstetrical tetanus (A34),,0,0,0,—,—,—,—,—,—
Other tetanus (A35),,1,1,2,np,np,np,—,np,np
Diphtheria (A36),,1,0,1,np,—,np,np,—,np
Whooping cough (A37),,2,1,3,np,np,np,np,—,np
Scarlet fever (A38),x,0,0,0,—,—,—,—,—,—
Meningococcal infection (A39),x,6,7,13,np,np,np,np,300,483
Streptococcal sepsis (A40),x,14,10,24,np,np,0.1,134,np,183
Other sepsis (A41),x,663,747,"1,410",4.9,3.9,4.4,"2,310","1,766","4,059"
Actinomycosis (A42),,0,0,0,—,—,—,—,—,—
Nocardiosis (A43),,1,4,5,np,np,np,—,np,np
Bartonellosis (A44),,0,0,0,—,—,—,—,—,—
Erysipelas (A46),x,0,0,0,—,—,—,—,—,—
"Other bacterial diseases, not elsewhere classified (A48)",,8,1,9,np,np,np,45,np,51
Bacterial infection of unspecified site (A49),,55,51,106,0.4,0.3,0.3,362,154,513
Infections with a predominantly sexual mode of transmission  (A50-A64),,4,0,4,np,—,np,—,—,—
Congenital syphilis (A50),,0,0,0,—,—,—,—,—,—
Early syphilis (A51),,0,0,0,—,—,—,—,—,—
Late syphilis (A52),,3,0,3,np,—,np,—,—,—
Other and unspecified syphilis (A53),,1,0,1,np,—,np,—,—,—
Gonococcal infection (A54),,0,0,0,—,—,—,—,—,—
Chlamydial lymphogranuloma (venereum) (A55),,0,0,0,—,—,—,—,—,—
Other sexually transmitted chlamydial diseases (A56),,0,0,0,—,—,—,—,—,—
Chancroid (A57),,0,0,0,—,—,—,—,—,—
Granuloma inguinale (A58),,0,0,0,—,—,—,—,—,—
Trichomoniasis (A59),,0,0,0,—,—,—,—,—,—
Anogenital herpesviral [herpes simplex] infection (A60),,0,0,0,—,—,—,—,—,—
"Other predominantly sexually transmitted diseases, not elsewhere classified (A63)",,0,0,0,—,—,—,—,—,—
Unspecified sexually transmitted disease (A64),,0,0,0,—,—,—,—,—,—
Other spirochaetal diseases  (A65-A69),,0,1,1,—,np,np,—,np,np
Nonvenereal syphilis (A65),,0,0,0,—,—,—,—,—,—
Yaws (A66),,0,0,0,—,—,—,—,—,—
Pinta [carate] (A67),,0,0,0,—,—,—,—,—,—
Relapsing fevers (A68),,0,0,0,—,—,—,—,—,—
Other spirochaetal infections (A69),,0,1,1,—,np,np,—,np,np
Other diseases caused by chlamydiae  (A70-A74),,0,0,0,—,—,—,—,—,—
Chlamydia psittaci infection (A70),,0,0,0,—,—,—,—,—,—
Trachoma (A71),,0,0,0,—,—,—,—,—,—
Other diseases caused by chlamydiae (A74),,0,0,0,—,—,—,—,—,—
Rickettsioses  (A75-A79),,0,0,0,—,—,—,—,—,—
Typhus fever (A75),,0,0,0,—,—,—,—,—,—
Spotted fever [tick-borne rickettsioses] (A77),,0,0,0,—,—,—,—,—,—
Q fever (A78),,0,0,0,—,—,—,—,—,—
Other rickettsioses (A79),,0,0,0,—,—,—,—,—,—
Viral infections of the central nervous system  (A80-A89),,40,23,63,0.3,0.1,0.2,398,290,683
Acute poliomyelitis (A80),,0,0,0,—,—,—,—,—,—
Slow virus infections of central nervous system (A81),,35,20,55,0.2,0.1,0.2,368,278,642
Rabies (A82),,0,0,0,—,—,—,—,—,—
Mosquito-borne viral encephalitis (A83),,2,0,2,np,—,np,np,—,np
Tick-borne viral encephalitis (A84),,0,0,0,—,—,—,—,—,—
"Other viral encephalitis, not elsewhere classified (A85)",,0,0,0,—,—,—,—,—,—
Unspecified viral encephalitis (A86),,3,3,6,np,np,np,np,np,np
Viral meningitis (A87),,0,0,0,—,—,—,—,—,—
"Other viral infections of central nervous system, not elsewhere classified (A88)",,0,0,0,—,—,—,—,—,—
Unspecified viral infection of central nervous system (A89),,0,0,0,—,—,—,—,—,—
Arthropod-borne viral fevers and viral haemorrhagic fevers (A90-A99),,0,1,1,—,np,np,—,np,np
Dengue fever [classical dengue] (A90),,0,0,0,—,—,—,—,—,—
Dengue haemorrhagic fever (A91),,0,0,0,—,—,—,—,—,—
Other mosquito-borne viral fevers (A92),,0,1,1,—,np,np,—,np,np
"Other arthropod-borne viral fevers, not elsewhere classified (A93)",,0,0,0,—,—,—,—,—,—
Unspecified arthropod-borne viral fever (A94),,0,0,0,—,—,—,—,—,—
Yellow fever (A95),,0,0,0,—,—,—,—,—,—
Arenaviral haemorrhagic fever (A96),,0,0,0,—,—,—,—,—,—
Dengue (A97),,0,0,0,—,—,—,—,—,—
"Other viral haemorrhagic fevers, not elsewhere classified (A98)",,0,0,0,—,—,—,—,—,—
Unspecified viral haemorrhagic fever (A99),,0,0,0,—,—,—,—,—,—
Viral infections characterized by skin and mucous membrane lesions (B00-B09),,19,37,56,np,0.2,0.2,55,269,318
Herpesviral [herpes simplex] infections (B00),,8,16,24,np,np,0.1,np,255,271
Varicella [chickenpox] (B01),,1,2,3,np,np,np,—,—,—
Zoster [herpes zoster] (B02),,10,19,29,np,np,0.1,np,np,np
Smallpox (B03),,0,0,0,—,—,—,—,—,—
Monkeypox (B04),,0,0,0,—,—,—,—,—,—
Measles (B05),,0,0,0,—,—,—,—,—,—
Rubella [German measles] (B06),,0,0,0,—,—,—,—,—,—
Viral warts (B07),,0,0,0,—,—,—,—,—,—
"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified (B08)",,0,0,0,—,—,—,—,—,—
Unspecified viral infection characterized by skin and mucous membrane lesions (B09),,0,0,0,—,—,—,—,—,—
Viral hepatitis  (B15-B19),,114,35,149,0.8,0.2,0.5,"1,975",531,"2,480"
Acute hepatitis A (B15),,0,0,0,—,—,—,—,—,—
Acute hepatitis B (B16),,4,4,8,np,np,np,np,np,103
Other acute viral hepatitis (B17),,6,3,9,np,np,np,np,np,np
Chronic viral hepatitis (B18),,103,28,131,0.8,0.2,0.5,"1,872",493,"2,340"
Unspecified viral hepatitis (B19),,1,0,1,np,—,np,np,—,np
Human immunodeficiency virus [HIV] disease  (B20-B24),x,27,2,29,0.2,np,0.1,524,np,561
Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases (B20),x,14,0,14,np,—,np,304,—,301
Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms (B21),x,2,1,3,np,np,np,np,np,np
Human immunodeficiency virus [HIV] disease resulting in other specified diseases (B22),x,3,0,3,np,—,np,np,—,np
Human immunodeficiency virus [HIV] disease resulting in other conditions (B23),x,3,0,3,np,—,np,np,—,np
Unspecified human immunodeficiency virus [HIV] disease (B24),x,5,1,6,np,np,np,np,—,np
Other viral diseases  (B25-B34),,24,21,45,0.2,0.1,0.1,314,81,398
Cytomegaloviral disease (B25),,4,1,5,np,np,np,np,np,35
Mumps (B26),,0,0,0,—,—,—,—,—,—
Infectious mononucleosis (B27),,0,0,0,—,—,—,—,—,—
Viral conjunctivitis (B30),,0,0,0,—,—,—,—,—,—
"Other viral diseases, not elsewhere classified (B33)",,2,1,3,np,np,np,np,np,np
Viral infection of unspecified site (B34),,18,19,37,np,np,0.1,262,71,338
Mycoses  (B35-B49),,38,20,58,0.3,0.1,0.2,338,132,468
Dermatophytosis (B35),,0,0,0,—,—,—,—,—,—
Other superficial mycoses (B36),,0,0,0,—,—,—,—,—,—
Candidiasis (B37),,8,7,15,np,np,np,np,59,85
Coccidioidomycosis (B38),,0,0,0,—,—,—,—,—,—
Histoplasmosis (B39),,0,0,0,—,—,—,—,—,—
Blastomycosis (B40),,0,0,0,—,—,—,—,—,—
Paracoccidioidomycosis (B41),,0,0,0,—,—,—,—,—,—
Sporotrichosis (B42),,0,0,0,—,—,—,—,—,—
Chromomycosis and phaeomycotic abscess (B43),,0,0,0,—,—,—,—,—,—
Aspergillosis (B44),,11,4,15,np,np,np,40,np,57
Cryptococcosis (B45),,7,3,10,np,np,np,47,np,68
Zygomycosis (B46),,1,1,2,np,np,np,np,—,np
Mycetoma (B47),,1,0,1,np,—,np,np,—,np
"Other mycoses, not elsewhere classified (B48)",,2,0,2,np,—,np,np,—,np
Unspecified mycosis (B49),,8,5,13,np,np,np,156,np,192
Protozoal diseases  (B50-B64),,8,3,11,np,np,np,115,np,131
Plasmodium falciparum malaria (B50),,0,0,0,—,—,—,—,—,—
Plasmodium vivax malaria (B51),,0,0,0,—,—,—,—,—,—
Plasmodium malariae malaria (B52),,0,0,0,—,—,—,—,—,—
Other parasitologically confirmed malaria (B53),,0,0,0,—,—,—,—,—,—
Unspecified malaria (B54),,0,0,0,—,—,—,—,—,—
Leishmaniasis (B55),,0,0,0,—,—,—,—,—,—
African trypanosomiasis (B56),,0,0,0,—,—,—,—,—,—
Chagas' disease (B57),,0,0,0,—,—,—,—,—,—
Toxoplasmosis (B58),,1,0,1,np,—,np,np,—,np
Pneumocystosis (B59),,7,3,10,np,np,np,99,np,116
"Other protozoal diseases, not elsewhere classified (B60)",,0,0,0,—,—,—,—,—,—
Unspecified protozoal disease (B64),,0,0,0,—,—,—,—,—,—
Helminthiases  (B65-B83),,2,0,2,np,—,np,np,—,np
Schistosomiasis [bilharziasis] (B65),,0,0,0,—,—,—,—,—,—
Other fluke infections (B66),,0,0,0,—,—,—,—,—,—
Echinococcosis (B67),,1,0,1,np,—,np,np,—,np
Taeniasis (B68),,0,0,0,—,—,—,—,—,—
Cysticercosis (B69),,0,0,0,—,—,—,—,—,—
Diphyllobothriasis and sparganosis (B70),,0,0,0,—,—,—,—,—,—
Other cestode infections (B71),,0,0,0,—,—,—,—,—,—
Dracunculiasis (B72),,0,0,0,—,—,—,—,—,—
Onchocerciasis (B73),,0,0,0,—,—,—,—,—,—
Filariasis (B74),,0,0,0,—,—,—,—,—,—
